delegation,superficie,chambres,salle_de_bains,etat,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
21.0,62,1,1,10,1,0.0,0.0,0.0,1.0,259532.0
32.0,300,2,1,10,5,0.0,0.0,0.0,1.0,1208100.0
26.0,142,1,1,11,1,1.0,0.0,0.0,0.0,707302.0
29.0,281,3,2,11,8,0.0,0.0,0.0,1.0,1255227.0
26.0,153,1,1,10,1,1.0,0.0,0.0,0.0,687429.0
29.0,169,4,2,10,1,0.0,0.0,0.0,1.0,747656.0
10.0,242,4,2,9,1,1.0,0.0,0.0,0.0,1158696.0
18.0,202,1,1,10,6,0.0,1.0,0.0,0.0,754672.0
32.0,119,1,1,4,7,0.0,0.0,0.0,1.0,488483.0
32.0,244,1,2,11,4,0.0,0.0,0.0,1.0,1045296.0
10.0,291,4,1,4,2,1.0,0.0,0.0,0.0,1281215.0
18.0,259,3,1,9,9,0.0,1.0,0.0,0.0,873866.0
16.0,144,2,1,9,5,0.0,1.0,0.0,0.0,566352.0
30.0,69,3,1,11,1,0.0,0.0,0.0,1.0,302979.0
29.0,226,1,2,4,3,0.0,0.0,0.0,1.0,886214.0
21.0,130,1,1,4,2,0.0,0.0,0.0,1.0,476658.0
32.0,147,1,1,9,4,0.0,0.0,0.0,1.0,630483.0
20.0,116,3,1,9,9,0.0,0.0,0.0,1.0,501004.0
26.0,268,3,2,4,1,1.0,0.0,0.0,0.0,1046808.0
29.0,283,1,2,10,6,0.0,0.0,0.0,1.0,1349061.0
27.0,164,1,2,10,9,0.0,0.0,0.0,1.0,789988.0
9.0,136,4,1,10,1,0.0,1.0,0.0,0.0,461992.0
33.0,230,3,1,4,9,0.0,0.0,0.0,1.0,987390.0
18.0,84,2,1,11,5,0.0,1.0,0.0,0.0,354123.0
33.0,247,1,1,11,8,0.0,0.0,0.0,1.0,1221168.0
19.0,251,3,2,11,6,0.0,1.0,0.0,0.0,910879.0
31.0,258,4,1,10,1,0.0,0.0,0.0,1.0,1272198.0
35.0,226,1,1,4,3,0.0,0.0,0.0,1.0,936250.0
36.0,210,1,2,10,1,0.0,0.0,0.0,1.0,847350.0
29.0,223,1,2,4,5,0.0,0.0,0.0,1.0,862809.0
29.0,151,1,2,9,7,0.0,0.0,0.0,1.0,713324.0
26.0,156,1,1,11,5,1.0,0.0,0.0,0.0,736320.0
13.0,152,1,2,10,1,0.0,1.0,0.0,0.0,606936.0
13.0,167,1,2,10,7,0.0,1.0,0.0,0.0,543084.0
27.0,143,1,1,11,3,0.0,0.0,0.0,1.0,635492.0
29.0,103,2,1,4,1,0.0,0.0,0.0,1.0,451449.0
9.0,270,1,2,10,6,0.0,1.0,0.0,0.0,987120.0
19.0,129,2,1,11,4,0.0,1.0,0.0,0.0,507099.0
23.0,94,4,1,4,7,0.0,0.0,0.0,1.0,366741.0
38.0,288,4,2,10,3,0.0,0.0,0.0,1.0,1230336.0
32.0,263,1,1,4,1,0.0,0.0,0.0,1.0,1002188.0
26.0,186,3,1,10,8,1.0,0.0,0.0,0.0,900612.0
27.0,207,3,1,9,7,1.0,0.0,0.0,0.0,949302.0
29.0,152,1,2,11,8,0.0,0.0,0.0,1.0,704976.0
23.0,84,1,1,9,5,0.0,0.0,0.0,1.0,414960.0
26.0,102,2,1,4,3,1.0,0.0,0.0,0.0,431827.0
18.0,268,2,2,10,5,0.0,1.0,0.0,0.0,919776.0
29.0,50,2,1,11,5,1.0,0.0,0.0,0.0,239400.0
32.0,266,4,1,4,9,0.0,0.0,0.0,1.0,1070357.0
19.0,175,1,1,11,9,0.0,1.0,0.0,0.0,617750.0
16.0,80,1,1,9,6,0.0,1.0,0.0,0.0,334640.0
29.0,256,4,1,10,5,0.0,0.0,0.0,1.0,1256960.0
22.0,256,1,2,10,5,1.0,0.0,0.0,0.0,1308787.0
29.0,143,1,1,9,2,0.0,0.0,0.0,1.0,670527.0
29.0,107,3,1,4,5,0.0,0.0,0.0,1.0,430143.0
10.0,62,1,1,9,7,1.0,0.0,0.0,0.0,282348.0
18.0,200,2,1,10,4,0.0,1.0,0.0,0.0,650000.0
29.0,59,2,1,10,3,0.0,0.0,0.0,1.0,289395.0
29.0,79,3,1,11,9,0.0,0.0,0.0,1.0,360082.0
29.0,91,1,1,11,6,0.0,0.0,0.0,1.0,421057.0
16.0,261,1,1,10,3,0.0,1.0,0.0,0.0,1061226.0
8.0,247,1,2,10,1,0.0,1.0,0.0,0.0,915876.0
19.0,182,1,2,11,5,0.0,1.0,0.0,0.0,654709.0
29.0,299,3,2,11,1,1.0,0.0,0.0,0.0,1288989.0
28.0,90,4,1,9,5,0.0,0.0,0.0,1.0,447480.0
29.0,261,2,2,4,3,0.0,0.0,0.0,1.0,1084298.0
25.0,195,2,2,10,8,0.0,0.0,0.0,1.0,849810.0
7.0,74,3,1,10,5,1.0,0.0,0.0,0.0,333518.0
27.0,190,2,1,9,6,0.0,0.0,0.0,1.0,906300.0
29.0,226,1,2,10,5,1.0,0.0,0.0,0.0,1101072.0
7.0,250,1,1,11,8,1.0,0.0,0.0,0.0,1135000.0
29.0,199,3,1,11,7,0.0,0.0,0.0,1.0,931718.0
37.0,297,3,2,4,4,0.0,0.0,0.0,1.0,1277694.0
10.0,135,3,1,11,6,1.0,0.0,0.0,0.0,661500.0
27.0,103,2,1,4,1,0.0,0.0,0.0,1.0,399074.0
28.0,92,3,1,11,1,0.0,0.0,0.0,1.0,438748.0
29.0,280,1,2,11,5,0.0,0.0,0.0,1.0,1136240.0
30.0,257,1,2,10,1,0.0,0.0,0.0,1.0,1039308.0
20.0,287,1,2,9,1,0.0,0.0,0.0,1.0,1356649.0
9.0,180,2,2,4,8,0.0,1.0,0.0,0.0,559386.0
29.0,265,2,1,11,3,1.0,0.0,0.0,0.0,1209990.0
29.0,102,1,1,11,5,1.0,0.0,0.0,0.0,446964.0
29.0,295,1,1,11,7,0.0,0.0,0.0,1.0,1454350.0
10.0,147,1,1,11,2,1.0,0.0,0.0,0.0,702513.0
37.0,71,2,1,9,6,0.0,0.0,0.0,1.0,348894.0
13.0,122,2,1,11,9,0.0,1.0,0.0,0.0,434198.0
29.0,59,2,1,9,5,1.0,0.0,0.0,0.0,263473.0
12.0,265,1,2,11,3,0.0,1.0,0.0,0.0,951350.0
36.0,236,2,1,4,2,0.0,0.0,0.0,1.0,964933.0
28.0,95,1,1,4,8,0.0,0.0,0.0,1.0,409374.0
10.0,159,2,2,4,9,1.0,0.0,0.0,0.0,709919.0
32.0,281,4,1,10,6,0.0,0.0,0.0,1.0,1176547.0
32.0,153,3,2,10,6,0.0,0.0,0.0,1.0,644895.0
15.0,113,1,1,4,2,0.0,1.0,0.0,0.0,360323.0
32.0,158,1,2,9,1,0.0,0.0,0.0,1.0,687458.0
38.0,176,1,2,11,2,0.0,0.0,0.0,1.0,752752.0
29.0,111,1,1,9,7,0.0,0.0,0.0,1.0,522699.0
27.0,237,1,2,9,2,0.0,0.0,0.0,1.0,1025499.0
27.0,267,1,1,4,8,1.0,0.0,0.0,0.0,1048669.0
7.0,101,2,1,9,5,1.0,0.0,0.0,0.0,488840.0
29.0,187,2,2,4,7,0.0,0.0,0.0,1.0,752469.0
32.0,70,1,1,10,7,0.0,0.0,0.0,1.0,336910.0
10.0,267,1,2,10,9,1.0,0.0,0.0,0.0,1245822.0
24.0,125,4,1,11,6,0.0,0.0,0.0,1.0,580750.0
32.0,138,1,1,4,6,0.0,0.0,0.0,1.0,615659.0
26.0,54,3,1,11,1,1.0,0.0,0.0,0.0,269190.0
32.0,186,4,2,10,7,0.0,0.0,0.0,1.0,789756.0
29.0,275,1,2,9,5,0.0,0.0,0.0,1.0,1216875.0
4.0,59,2,1,10,3,0.0,0.0,0.0,1.0,271400.0
37.0,99,1,1,9,9,0.0,0.0,0.0,1.0,430650.0
18.0,242,1,1,9,9,0.0,1.0,0.0,0.0,896368.0
10.0,75,2,1,9,2,1.0,0.0,0.0,0.0,361500.0
6.0,190,1,2,9,4,0.0,1.0,0.0,0.0,745940.0
21.0,176,2,1,9,2,0.0,0.0,0.0,1.0,728816.0
29.0,213,1,2,11,5,1.0,0.0,0.0,0.0,1104160.0
30.0,67,1,1,11,6,0.0,0.0,0.0,1.0,312957.0
17.0,156,2,2,9,9,0.0,1.0,0.0,0.0,548964.0
33.0,251,2,2,9,3,0.0,0.0,0.0,1.0,1170915.0
28.0,219,1,2,10,3,0.0,0.0,0.0,1.0,1057332.0
10.0,190,1,1,9,1,1.0,0.0,0.0,0.0,932900.0
32.0,266,1,1,11,4,0.0,0.0,0.0,1.0,1251264.0
1.0,131,1,1,4,6,0.0,0.0,1.0,0.0,455684.0
29.0,85,1,1,10,1,0.0,0.0,0.0,1.0,359720.0
27.0,288,1,1,11,1,0.0,0.0,0.0,1.0,1336896.0
10.0,99,1,1,11,5,1.0,0.0,0.0,0.0,497193.0
32.0,203,2,2,10,1,0.0,0.0,0.0,1.0,916951.0
20.0,277,1,1,11,9,0.0,0.0,0.0,1.0,1285003.0
27.0,249,2,2,9,3,0.0,0.0,0.0,1.0,1217361.0
10.0,99,1,1,10,1,1.0,0.0,0.0,0.0,431343.0
28.0,298,4,1,10,5,0.0,0.0,0.0,1.0,1437463.0
25.0,229,1,1,9,5,0.0,0.0,0.0,1.0,1181331.0
10.0,190,2,2,10,1,1.0,0.0,0.0,0.0,807690.0
29.0,90,1,1,11,8,1.0,0.0,0.0,0.0,381420.0
14.0,52,3,1,10,9,0.0,1.0,0.0,0.0,207688.0
10.0,59,1,1,10,1,1.0,0.0,0.0,0.0,244260.0
5.0,61,1,1,9,2,0.0,0.0,0.0,1.0,284870.0
32.0,99,1,1,10,2,0.0,0.0,0.0,1.0,417879.0
26.0,276,1,2,11,2,1.0,0.0,0.0,0.0,1244208.0
29.0,161,3,2,4,7,0.0,0.0,0.0,1.0,611768.0
29.0,160,1,1,4,7,0.0,0.0,0.0,1.0,680544.0
17.0,266,1,2,11,8,0.0,1.0,0.0,0.0,1063468.0
17.0,186,2,1,11,4,0.0,1.0,0.0,0.0,717960.0
27.0,61,1,1,4,8,0.0,0.0,0.0,1.0,244085.0
10.0,54,2,1,4,7,1.0,0.0,0.0,0.0,199260.0
10.0,253,2,2,11,9,1.0,0.0,0.0,0.0,1114971.0
14.0,166,1,2,9,4,0.0,1.0,0.0,0.0,588304.0
11.0,257,1,1,9,6,0.0,0.0,0.0,1.0,1225376.0
17.0,153,4,2,11,8,0.0,1.0,0.0,0.0,575586.0
29.0,127,3,1,10,1,0.0,0.0,0.0,1.0,515239.0
29.0,289,2,1,4,1,0.0,0.0,0.0,1.0,1179814.0
21.0,108,4,1,11,6,0.0,0.0,0.0,1.0,455544.0
31.0,218,4,1,9,1,0.0,0.0,0.0,1.0,1081280.0
10.0,282,3,2,10,5,1.0,0.0,0.0,0.0,1139844.0
28.0,109,1,1,10,1,0.0,0.0,0.0,1.0,453549.0
19.0,237,4,1,11,1,0.0,1.0,0.0,0.0,807696.0
32.0,230,3,2,9,5,0.0,0.0,0.0,1.0,1126598.0
32.0,75,1,1,9,5,0.0,0.0,0.0,1.0,375480.0
10.0,72,4,1,4,2,1.0,0.0,0.0,0.0,308513.0
12.0,230,1,2,11,6,0.0,1.0,0.0,0.0,777170.0
29.0,137,2,1,4,3,0.0,0.0,0.0,1.0,613787.0
27.0,125,3,1,10,9,1.0,0.0,0.0,0.0,563500.0
24.0,294,1,2,10,5,0.0,0.0,0.0,1.0,1242150.0
9.0,138,2,1,4,7,0.0,1.0,0.0,0.0,423522.0
17.0,107,3,1,9,3,0.0,1.0,0.0,0.0,385414.0
23.0,115,2,1,10,6,0.0,0.0,0.0,1.0,523135.0
22.0,136,4,1,10,8,1.0,0.0,0.0,0.0,586840.0
29.0,217,2,1,4,4,0.0,0.0,0.0,1.0,796629.0
35.0,51,2,1,4,2,0.0,0.0,0.0,1.0,198609.0
26.0,126,1,1,10,1,1.0,0.0,0.0,0.0,615258.0
29.0,273,1,2,10,6,0.0,0.0,0.0,1.0,1280643.0
10.0,158,2,1,9,5,1.0,0.0,0.0,0.0,819546.0
10.0,172,1,1,4,4,1.0,0.0,0.0,0.0,734371.0
27.0,257,1,2,11,5,0.0,0.0,0.0,1.0,1345472.0
21.0,66,1,1,9,8,0.0,0.0,0.0,1.0,282150.0
10.0,66,3,1,9,6,1.0,0.0,0.0,0.0,268686.0
29.0,227,2,2,4,2,0.0,0.0,0.0,1.0,841307.0
32.0,199,1,1,4,2,0.0,0.0,0.0,1.0,806666.0
20.0,141,3,1,9,5,0.0,0.0,0.0,1.0,630975.0
20.0,141,2,1,4,7,0.0,0.0,0.0,1.0,528158.0
10.0,252,1,1,4,8,1.0,0.0,0.0,0.0,969797.0
10.0,55,2,1,11,5,1.0,0.0,0.0,0.0,260914.0
18.0,223,1,1,11,8,0.0,1.0,0.0,0.0,935708.0
12.0,168,1,2,4,7,0.0,1.0,0.0,0.0,539482.0
9.0,148,2,1,11,7,0.0,1.0,0.0,0.0,575868.0
18.0,67,1,1,4,4,0.0,1.0,0.0,0.0,211472.0
12.0,107,1,1,11,2,0.0,1.0,0.0,0.0,367545.0
29.0,85,3,1,11,2,1.0,0.0,0.0,0.0,347395.0
32.0,255,2,1,4,9,0.0,0.0,0.0,1.0,1134189.0
23.0,266,2,1,11,5,0.0,0.0,0.0,1.0,1194872.0
29.0,233,3,1,4,6,0.0,0.0,0.0,1.0,1023126.0
35.0,178,1,1,10,1,0.0,0.0,0.0,1.0,790142.0
28.0,135,1,1,10,8,0.0,0.0,0.0,1.0,590355.0
21.0,64,1,1,10,4,0.0,0.0,0.0,1.0,294656.0
16.0,84,2,1,11,1,0.0,1.0,0.0,0.0,346668.0
28.0,101,1,1,11,4,0.0,0.0,0.0,1.0,500758.0
32.0,188,1,1,11,4,0.0,0.0,0.0,1.0,893752.0
21.0,200,1,1,4,5,0.0,0.0,0.0,1.0,835380.0
4.0,56,2,1,11,5,0.0,0.0,0.0,1.0,272185.0
29.0,93,1,1,11,8,1.0,0.0,0.0,0.0,394599.0
29.0,76,1,1,11,9,1.0,0.0,0.0,0.0,347396.0
12.0,120,2,1,10,2,0.0,1.0,0.0,0.0,408960.0
38.0,212,4,1,10,8,0.0,0.0,0.0,1.0,908420.0
32.0,220,2,1,4,1,0.0,0.0,0.0,1.0,881298.0
29.0,193,1,2,9,5,0.0,0.0,0.0,1.0,953806.0
17.0,134,1,1,4,2,0.0,1.0,0.0,0.0,400995.0
25.0,83,1,1,9,2,0.0,0.0,0.0,1.0,349015.0
27.0,229,2,1,11,6,1.0,0.0,0.0,0.0,1019508.0
32.0,228,2,2,10,9,0.0,0.0,0.0,1.0,1042644.0
36.0,218,3,2,11,9,0.0,0.0,0.0,1.0,1063186.0
23.0,276,4,2,9,3,0.0,0.0,0.0,1.0,1331424.0
27.0,180,1,1,11,7,0.0,0.0,0.0,1.0,838260.0
23.0,128,1,1,9,8,0.0,0.0,0.0,1.0,575616.0
25.0,133,2,1,10,4,0.0,0.0,0.0,1.0,600761.0
10.0,176,4,2,11,2,1.0,0.0,0.0,0.0,787600.0
26.0,175,1,2,9,1,1.0,0.0,0.0,0.0,846650.0
34.0,270,3,2,11,3,0.0,0.0,0.0,1.0,1206090.0
26.0,197,3,1,9,6,1.0,0.0,0.0,0.0,909746.0
23.0,134,1,1,9,7,0.0,0.0,0.0,1.0,573118.0
17.0,164,1,1,9,9,0.0,1.0,0.0,0.0,661576.0
17.0,157,1,2,10,2,0.0,1.0,0.0,0.0,631925.0
17.0,201,1,1,11,5,0.0,1.0,0.0,0.0,680385.0
28.0,171,2,2,9,6,0.0,0.0,0.0,1.0,704349.0
10.0,274,1,2,11,9,1.0,0.0,0.0,0.0,1339586.0
27.0,194,3,1,9,1,1.0,0.0,0.0,0.0,962240.0
29.0,155,2,2,10,1,1.0,0.0,0.0,0.0,691920.0
17.0,103,2,1,10,8,0.0,1.0,0.0,0.0,330733.0
27.0,297,4,2,4,1,1.0,0.0,0.0,0.0,1274219.0
32.0,259,3,2,10,3,0.0,0.0,0.0,1.0,1078476.0
15.0,196,1,1,10,8,0.0,1.0,0.0,0.0,759696.0
16.0,277,1,2,9,5,0.0,1.0,0.0,0.0,1117972.0
29.0,151,2,1,10,3,1.0,0.0,0.0,0.0,754698.0
29.0,170,3,2,4,1,0.0,0.0,0.0,1.0,704106.0
34.0,87,2,1,9,5,0.0,0.0,0.0,1.0,376545.0
