prix,delegation,gouvernorat,chambres,salle_de_bains,nb_pieces,superficie,etage
175000.0,Ennasr,Ariana,1,1.0,2.0,65.0,1
270000.0,Ghazela,Ariana,2,1.0,3.0,100.0,3
390000.0,Ariana Ville,Ariana,4,2.0,5.0,140.0,5
400000.0,Ariana Ville,Ariana,3,1.0,3.0,124.0,1
345000.0,La Soukra,Ariana,3,2.0,5.0,140.0,2
230000.0,Menzah,Ariana,2,1.0,3.0,70.0,2
275000.0,Mnihla,Ariana,2,1.0,3.0,102.0,2
130000.0,Ariana Ville,Ariana,3,1.0,3.0,140.0,3
150000.0,Ennasr,Ariana,1,1.0,2.0,60.0,1
340000.0,Raoued,Ariana,2,1.0,3.0,120.0,1
285000.0,La Soukra,Ariana,3,1.0,4.0,132.0,2
250000.0,La Soukra,Ariana,3,1.0,4.0,126.0,1
295000.0,Menzah,Ariana,2,2.0,3.0,124.0,1
330000.0,Ennasr,Ariana,3,2.0,4.0,136.0,5
350000.0,Ennasr,Ariana,3,2.0,4.0,148.0,1
430000.0,Ghazela,Ariana,4,1.0,4.0,160.0,6
295000.0,Ennasr,Ariana,2,2.0,3.0,132.0,1
295000.0,Ennasr,Ariana,3,1.0,4.0,142.0,6
380000.0,Ennasr,Ariana,2,2.0,3.0,108.0,3
240000.0,Ariana Ville,Ariana,4,2.0,5.0,144.0,1
280000.0,Ennasr,Ariana,2,1.0,3.0,111.0,1
430000.0,Ennasr,Ariana,2,1.0,3.0,170.0,1
200000.0,Ariana Ville,Ariana,2,1.0,3.0,89.0,1
200000.0,Ennasr,Ariana,1,1.0,2.0,65.0,3
490000.0,Ariana Ville,Ariana,3,2.0,4.0,220.0,4
350000.0,Ariana Ville,Ariana,4,1.0,5.0,115.0,1
65000.0,Raoued,Ariana,1,1.0,2.0,63.0,1
80000.0,Ariana Ville,Ariana,3,1.0,4.0,120.0,1
135000.0,Ariana Ville,Ariana,2,1.0,3.0,90.0,1
210000.0,Ariana Ville,Ariana,3,2.0,4.0,129.0,1
175000.0,Borj Louzir,Ariana,2,1.0,3.0,70.0,1
700000.0,Raoued,Ariana,3,1.0,4.0,200.0,1
340000.0,Menzah,Ariana,2,1.0,3.0,117.0,1
675000.0,Raoued,Ariana,3,2.0,4.0,200.0,1
235000.0,Ariana Ville,Ariana,1,1.0,2.0,78.0,2
90000.0,Borj Louzir,Ariana,2,1.0,5.0,120.0,2
450000.0,La Soukra,Ariana,2,2.0,3.0,125.0,2
170000.0,Ghazela,Ariana,1,1.0,2.0,63.0,2
240000.0,Raoued,Ariana,3,2.0,4.0,135.0,5
400000.0,La Soukra,Ariana,4,2.0,5.0,170.0,1
235000.0,Ennasr,Ariana,1,1.0,2.0,78.0,2
170000.0,La Soukra,Ariana,1,1.0,1.0,50.0,1
445000.0,Borj Louzir,Ariana,3,2.0,4.0,260.0,1
250000.0,Raoued,Ariana,2,2.0,3.0,163.0,3
250000.0,Menzah,Ariana,2,1.0,3.0,100.0,1
280000.0,Ariana Ville,Ariana,2,1.0,3.0,74.0,5
265000.0,Menzah,Ariana,2,1.0,3.0,100.0,1
315000.0,Jardins D'el Menzah,Ariana,3,2.0,7.0,112.0,3
280000.0,Menzah,Ariana,3,2.0,3.0,125.0,1
450000.0,La Soukra,Ariana,3,1.0,4.0,124.0,1
235000.0,Ennasr,Ariana,1,1.0,2.0,60.0,1
300000.0,Manar,Ariana,3,2.0,4.0,120.0,3
165000.0,Ariana Ville,Ariana,3,1.0,4.0,110.0,1
270000.0,Ariana Ville,Ariana,2,2.0,3.0,85.0,2
220000.0,La Soukra,Ariana,1,1.0,2.0,75.0,1
220000.0,Raoued,Ariana,5,2.0,4.0,144.0,2
250000.0,Manar,Ariana,2,1.0,3.0,85.0,1
370000.0,Ghazela,Ariana,3,2.0,4.0,160.0,3
270000.0,Menzah,Ariana,2,2.0,3.0,124.5,2
340000.0,La Soukra,Ariana,2,1.0,3.0,100.0,1
128000.0,Borj Louzir,Ariana,2,1.0,2.0,80.0,3
550000.0,Chotrana,Ariana,3,3.0,4.0,175.0,1
210000.0,La Soukra,Ariana,1,1.0,2.0,52.0,1
620000.0,Chotrana,Ariana,4,3.0,5.0,220.0,1
320000.0,Jardins D'el Menzah,Ariana,2,1.0,3.0,90.0,1
192000.0,Menzah,Ariana,1,1.0,2.0,60.0,1
160000.0,Ariana Ville,Ariana,2,1.0,3.0,62.0,4
355000.0,Ennasr,Ariana,2,1.0,3.0,136.0,1
400000.0,La Soukra,Ariana,3,2.0,4.0,170.0,1
190000.0,Raoued,Ariana,2,1.0,3.0,105.0,2
490000.0,Raoued,Ariana,2,2.0,3.0,154.0,1
448000.0,Borj Louzir,Ariana,3,2.0,7.0,163.0,1
250000.0,La Soukra,Ariana,2,1.0,3.0,110.0,1
425000.0,La Soukra,Ariana,2,1.0,3.0,116.0,1
250000.0,Borj Louzir,Ariana,3,1.0,4.0,134.0,1
660000.0,La Soukra,Ariana,3,1.0,3.0,188.0,1
410000.0,La Soukra,Ariana,2,1.0,3.0,90.0,1
