_id,gouvernorat,delegation,superficie,salle_de_bains,chambres,prix,description
34be19ea17002dc3ae597cd3fbc254ce7ad4901de7d5b90bad3fbb2a548f8b4e,Tunis,L Aouina,172,2,4,340000,a vendre un appartement s4 a l'aouina cité wahat \nse compose d'un salon avec balcon\ncuisine avec séchoir \nsalle d'eau et salle bain \n4 chambres dont deux avec dressing \nprix : 340md\npour plus d'info contacter : \n
b5bcd1a1fcdde2505d3489d0e599e5fe95fd4f06ed8ead6bffd92825c235c58f,Tunis,L Aouina,120,1,2,290000,FB.7150\nContacter notre conseillère en immobilier au
9f4b310f3a1fa3eb65ff52304f499f9d79d3d6a51acf75008815d803edc956e2,Tunis,L Aouina,55,1,1,185000,\n\nFB.7136\nContacter notre conseillère en immobilière au
2624fb96db381d61afaceafbbbd84a3483202fc6ce656cbad63b21e2255866ae,Tunis,Ain Zaghouen,73,1,0,210000,"#FIRST_HOME_REAL_ESTATE ( #agence_immobilière_Agrée)\nZM-4137🏡 🔑 C'est le moment d'investir \n📢 A #vendre un appartement s+1 d'une superficie de 73㎡ situé  dans une résidence bien gardée, sécurisée à proximité toute les commodité et sur une route principale.\n📍 Ain Zaghouan \n🔸 Un salon \n🔸 Une cuisine aménagée et équipée \n🔸Une salle de douche \n🔸Une chambre à coucher avec dressing \nPrix :210 000dt \nPour plus d’informations veuillez nous contacter 📲📱"
296da3963371969a1b6838a087ed7cfccd6eb7b8a7ac04ed8db7dc5596cf8b36,Tunis,L Aouina,60,1,1,165000,"A vendre appartement s1 a cité el wahatt\nse compose d'un salon , chambre a coucher , salle de bain , cuisine équipé.\nPrix : 165 mdt\ntél\n"
fbae9cc9ca3bd07c48461566ad65fe4505d35d3738064fcf0cf870f6a5fac778,Tunis,L Aouina,100,1,2,240000,A vendre appartement S+2 haut standing à l'aouina cité wahat\nPrix 240000dt\nContacter:
f4adffa3f29ec68603d2898db217ebb4f3a6ce7f5ee3a8443338162ac05663a8,Tunis,L Aouina,140,2,3,300000,A vendre un appartement s3 a l’aouina citè wahat \nSe compose d’un salon avec balcon \nCuisine avec séchoir \nSalle d’eau et salle de bain \n3 chambres à coucher dont une avec dressing\nDressing au couloir \nVue dégagée \nDouble ascenseurs\nPour plus d’info contacter :
cb5ea2334414c695f9f0ab51ce62a5e22536e4009ee1657bdaff2ff3ee0102b2,Tunis,Ain Zaghouan Nord,85,1,1,0,"A vendre des appartements a ain zaghouan nord dans une résidence R+4 direct promoteur\n\n⏩️ Types d’appartements: \n🛏️ S+1 \n✅ Façades rectilignes, rythmées et harmonieuses \n✅ Aménagement intelligent \n✅ Architecture de qualité \n✅ Emplacement stratégique \n✅ Cadre de vie paisible et sécurisé \nprix : 340md \nsuperficie : 64m² a 85m² \n\n☎️ Pour visiter ou plus d’informations veuillez me contacter au"
abb3439e7d08eaa514559a520d4e17bad544817519fbc7576fda6616bc6a35bb,Tunis,El Manar 2,75,1,3,230000,A vendre chez la Rosa immobilière 🌸🔑un appartement S+2 situé au 2ème étage dans une résidence gardée (sans ascenseur) à Manar2✨ proche de toutes commodité. \nil est composé de : \n* Un salon avec balcon\n* 2 chambres à coucher avec balcon\n* Une salle de bain + salle d'eau\n* cuisine \n* Climatiseur\n- Superficie : 75 m2\n- Papiers : titre bleu en cours\n\nPrix de vente 💰230 mille dinars\nProfitez de cet bel offre et n'hésitez pas de nous contacter : tel
90142dfa0dd37365a4e10037c098a62313a8e83e31ca01b415de4403572f8323,Tunis,L Aouina,2,2,95,225000,FB.7070\nContacter notre conseillère en immobilière au
